Month,Lana Del Rey: (Worldwide)
2019-01,32
2019-02,26
2019-03,27
2019-04,25
2019-05,28
2019-06,31
2019-07,34
2019-08,56
2019-09,66
2019-10,43
2019-11,34
2019-12,33
2020-01,40
2020-02,34
2020-03,29
2020-04,36
2020-05,53
2020-06,32
2020-07,32
2020-08,32
2020-09,30
2020-10,32
2020-11,25
2020-12,29
2021-01,40
2021-02,47
2021-03,41
2021-04,33
2021-05,29
2021-06,28
2021-07,29
2021-08,27
2021-09,29
2021-10,36
2021-11,28
2021-12,33
2022-01,36
2022-02,30
2022-03,30
2022-04,33
2022-05,34
2022-06,39
2022-07,43
2022-08,40
2022-09,46
2022-10,41
2022-11,37
2022-12,52
2023-01,61
2023-02,66
2023-03,75
2023-04,69
2023-05,78
2023-06,91
2023-07,100
2023-08,89
2023-09,64
2023-10,55
2023-11,49
2023-12,56
2024-01,59
2024-02,90
2024-03,51
2024-04,76
2024-05,69
